Id,Name,Month,Country,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Population,Confirmed_per_100K,Deaths_per_100K,Recovered_per_100K,Confirmed_rolling_avg3,Confirmed_trend,Deaths_rolling_avg3,Deaths_trend,Recovered_rolling_avg3,Recovered_trend
42,COVID-19,2020-01-01,Costa Rica,0,0,0,0,0,0,5102158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,COVID-19,2020-01-01,Côte d'Ivoire,0,0,0,0,0,0,26486282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,COVID-19,2020-01-01,Croatia,0,0,0,0,0,0,4100719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,COVID-19,2020-01-01,Cuba,0,0,0,0,0,0,11325391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,COVID-19,2020-01-01,Cyprus,0,0,0,0,0,0,1208886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,COVID-19,2020-01-01,Czech Republic (Czechia),0,0,0,0,0,0,10712481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,COVID-19,2020-01-01,Denmark,0,0,0,0,0,0,5795780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,COVID-19,2020-01-01,Djibouti,0,0,0,0,0,0,990447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,COVID-19,2020-01-01,Dominica,0,0,0,0,0,0,72017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,COVID-19,2020-01-01,Dominican Republic,0,0,0,0,0,0,10866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,COVID-19,2020-01-01,Ecuador,0,0,0,0,0,0,17688599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,COVID-19,2020-01-01,Egypt,0,0,0,0,0,0,102659126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,COVID-19,2020-01-01,El Salvador,0,0,0,0,0,0,6491923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,COVID-19,2020-01-01,Equatorial Guinea,0,0,0,0,0,0,1410419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,COVID-19,2020-01-01,Eritrea,0,0,0,0,0,0,3554797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,COVID-19,2020-01-01,Estonia,0,0,0,0,0,0,1326693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,COVID-19,2020-01-01,Eswatini,0,0,0,0,0,0,1162233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,COVID-19,2020-01-01,Ethiopia,0,0,0,0,0,0,115434444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,COVID-19,2020-01-01,Fiji,0,0,0,0,0,0,897573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,COVID-19,2020-01-01,Finland,1,0,0,1,0,0,5542237,0.018043255818904893,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
62,COVID-19,2020-01-01,France,5,0,0,5,0,0,65298930,0.0076570933091859245,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
63,COVID-19,2020-01-01,Gabon,0,0,0,0,0,0,2234448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,COVID-19,2020-01-01,Gambia,0,0,0,0,0,0,2427782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,COVID-19,2020-01-01,Georgia,0,0,0,0,0,0,3987805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,COVID-19,2020-01-01,Germany,5,0,0,5,0,0,83830972,0.005964382710485571,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
67,COVID-19,2020-01-01,Ghana,0,0,0,0,0,0,31181428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,COVID-19,2020-01-01,Greece,0,0,0,0,0,0,10413936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,COVID-19,2020-01-01,Greenland,0,0,0,0,0,0,56787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,COVID-19,2020-01-01,Grenada,0,0,0,0,0,0,112614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,COVID-19,2020-01-01,Guatemala,0,0,0,0,0,0,17971382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,COVID-19,2020-01-01,Guinea,0,0,0,0,0,0,13191279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,COVID-19,2020-01-01,Guinea-Bissau,0,0,0,0,0,0,1975718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,COVID-19,2020-01-01,Guyana,0,0,0,0,0,0,787215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,COVID-19,2020-01-01,Haiti,0,0,0,0,0,0,11426356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,COVID-19,2020-01-01,Holy See,0,0,0,0,0,0,801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,COVID-19,2020-01-01,Honduras,0,0,0,0,0,0,9931333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,COVID-19,2020-01-01,Hungary,0,0,0,0,0,0,9655983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,COVID-19,2020-01-01,Iceland,0,0,0,0,0,0,341628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,COVID-19,2020-01-01,India,1,0,0,1,0,0,1382345085,7.234083665874213e-05,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
81,COVID-19,2020-01-01,Indonesia,0,0,0,0,0,0,274021604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,COVID-19,2020-01-01,Iran,0,0,0,0,0,0,84176929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,COVID-19,2020-01-01,Iraq,0,0,0,0,0,0,40372771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,COVID-19,2020-01-01,Ireland,0,0,0,0,0,0,4947267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,COVID-19,2020-01-01,Israel,0,0,0,0,0,0,8678517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,COVID-19,2020-01-01,Italy,2,0,0,2,0,0,60446035,0.003308736462201367,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
87,COVID-19,2020-01-01,Jamaica,0,0,0,0,0,0,2963429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,COVID-19,2020-01-01,Japan,15,0,1,13,0,1,126407422,0.011866391832593502,0.0,0.0007910927888395668,15.0,0.0,0.0,0.0,1.0,0.0
89,COVID-19,2020-01-01,Jordan,0,0,0,0,0,0,10220604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,COVID-19,2020-01-01,Kazakhstan,0,0,0,0,0,0,18815231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,COVID-19,2020-01-01,Kenya,0,0,0,0,0,0,53968739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,COVID-19,2020-01-01,Kosovo,0,0,0,0,0,0,1920079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,COVID-19,2020-01-01,Kuwait,0,0,0,0,0,0,4281320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,COVID-19,2020-01-01,Kyrgyzstan,0,0,0,0,0,0,6542426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,COVID-19,2020-01-01,Laos,0,0,0,0,0,0,7293542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,COVID-19,2020-01-01,Latvia,0,0,0,0,0,0,1882408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,COVID-19,2020-01-01,Lebanon,0,0,0,0,0,0,6819976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,COVID-19,2020-01-01,Lesotho,0,0,0,0,0,0,2145194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,COVID-19,2020-01-01,Liberia,0,0,0,0,0,0,5077411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,COVID-19,2020-01-01,Libya,0,0,0,0,0,0,6887247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,COVID-19,2020-01-01,Liechtenstein,0,0,0,0,0,0,38147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,COVID-19,2020-01-01,Lithuania,0,0,0,0,0,0,2715340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,COVID-19,2020-01-01,Luxembourg,0,0,0,0,0,0,627704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,COVID-19,2020-01-01,Madagascar,0,0,0,0,0,0,27808395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,COVID-19,2020-01-01,Malawi,0,0,0,0,0,0,19211425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,COVID-19,2020-01-01,Malaysia,8,0,0,8,0,0,32436963,0.024663221399611305,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
107,COVID-19,2020-01-01,Maldives,0,0,0,0,0,0,542151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,COVID-19,2020-01-01,Mali,0,0,0,0,0,0,20346106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,COVID-19,2020-01-01,Malta,0,0,0,0,0,0,441750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,COVID-19,2020-01-01,Mauritania,0,0,0,0,0,0,4669775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,COVID-19,2020-01-01,Mauritius,0,0,0,0,0,0,1272140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,COVID-19,2020-01-01,Mexico,0,0,0,0,0,0,129166028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,COVID-19,2020-01-01,Moldova,0,0,0,0,0,0,4032294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,COVID-19,2020-01-01,Monaco,0,0,0,0,0,0,39290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,COVID-19,2020-01-01,Mongolia,0,0,0,0,0,0,3287242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,COVID-19,2020-01-01,Montenegro,0,0,0,0,0,0,628080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,COVID-19,2020-01-01,Morocco,0,0,0,0,0,0,36985624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,COVID-19,2020-01-01,Mozambique,0,0,0,0,0,0,31398811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,COVID-19,2020-01-01,Namibia,0,0,0,0,0,0,2548663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,COVID-19,2020-01-01,Nepal,1,0,0,1,0,0,29225196,0.003421705024664334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
121,COVID-19,2020-01-01,Netherlands,0,0,0,0,0,0,17141544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,COVID-19,2020-01-01,New Zealand,0,0,0,0,0,0,4829021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,COVID-19,2020-01-01,Nicaragua,0,0,0,0,0,0,6638075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,COVID-19,2020-01-01,Niger,0,0,0,0,0,0,24346468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
